Datetime,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
2022-05-25 18:00:00,17.89,18.44,47.49,18.93,62.61,6.42,7.68,11.34,30.31
2022-05-25 19:00:00,16.73,18.76,51.66,25.36,55.13,6.3,7.52,11.21,27.59
2022-05-25 20:00:00,15.95,14.21,53.75,21.76,57.0,6.0,7.19,10.5,26.06
2022-05-25 21:00:00,15.44,8.91,52.0,18.08,53.64,6.18,7.44,10.66,26.06
2022-05-25 22:00:00,15.42,9.61,51.68,21.67,42.2,7.5,8.95,12.61,26.16
2022-05-25 23:00:00,13.75,4.67,44.65,5.07,58.4,5.62,7.74,11.57,26.84
2022-05-26 00:00:00,17.34,24.85,63.6,21.49,64.67,5.82,7.44,11.98,24.73
2022-05-26 01:00:00,16.5,14.71,63.06,13.0,66.47,5.54,6.81,10.12,23.97
2022-05-26 02:00:00,15.32,6.58,62.1,12.81,51.91,5.27,6.47,8.68,22.98
2022-05-26 03:00:00,14.86,4.54,62.39,14.54,41.11,5.63,6.98,9.0,22.4
2022-05-26 04:00:00,14.39,3.16,63.15,14.9,36.69,5.65,7.02,8.85,21.71
2022-05-26 05:00:00,14.45,6.21,64.63,25.05,24.53,5.99,7.46,9.81,21.39
2022-05-26 06:00:00,14.54,12.04,65.74,40.58,7.3,6.58,8.26,11.13,21.21
2022-05-26 07:00:00,15.23,26.04,64.83,45.11,1.43,7.53,9.66,13.82,22.18
2022-05-26 08:00:00,15.77,12.39,60.33,31.59,13.41,6.18,10.09,16.29,23.93
2022-05-26 09:00:00,17.35,16.66,59.66,28.16,16.4,10.94,14.09,23.33,25.8
2022-05-26 10:00:00,17.38,5.16,52.67,10.71,37.29,14.49,17.9,25.36,27.98
2022-05-26 11:00:00,17.42,7.27,49.02,4.68,57.76,11.9,15.22,22.66,29.23
2022-05-26 12:00:00,18.06,3.02,44.35,4.41,59.95,8.39,11.63,19.34,31.69
2022-05-26 13:00:00,17.51,1.75,36.82,1.76,65.64,7.61,10.61,18.27,34.39
2022-05-26 14:00:00,17.47,4.99,35.58,10.32,69.55,5.82,9.11,17.93,34.95
2022-05-26 15:00:00,17.52,9.56,32.99,13.9,63.6,5.33,8.67,17.26,36.38
2022-05-26 16:00:00,17.33,19.41,31.11,16.23,61.79,6.4,9.47,17.0,37.24
2022-05-26 17:00:00,18.36,31.47,33.88,31.42,51.67,7.21,10.09,17.29,36.89
2022-05-26 18:00:00,19.22,37.07,38.22,36.2,46.08,7.03,9.65,15.91,35.65
2022-05-26 19:00:00,18.2,30.61,41.82,32.34,47.06,7.36,10.08,16.04,32.88
2022-05-26 20:00:00,16.75,32.32,43.16,58.33,11.52,9.23,12.26,19.9,30.72
2022-05-26 21:00:00,16.89,30.33,49.13,39.0,28.26,8.95,11.67,16.64,28.62
2022-05-26 22:00:00,17.21,49.84,53.35,56.86,10.52,10.24,12.98,18.9,27.57
2022-05-26 23:00:00,16.71,45.38,54.87,54.6,0.83,9.38,12.14,17.35,26.53
2022-05-27 00:00:00,16.06,32.78,55.2,46.24,0.0,8.89,11.6,16.84,25.73
2022-05-27 01:00:00,16.34,31.57,58.97,43.92,0.0,9.21,11.61,15.77,24.92
2022-05-27 02:00:00,16.43,22.07,61.17,34.04,13.21,9.61,11.87,16.16,24.4
2022-05-27 03:00:00,16.45,14.65,63.48,22.61,24.38,9.9,11.93,15.6,23.8
2022-05-27 04:00:00,16.12,13.59,64.98,21.92,25.7,9.66,11.6,14.73,23.07
2022-05-27 05:00:00,16.63,12.51,68.1,21.75,29.06,10.34,12.2,15.43,22.83
2022-05-27 06:00:00,17.08,18.21,70.3,39.19,5.36,10.85,12.75,16.06,22.77
2022-05-27 07:00:00,17.72,16.64,70.78,32.4,15.49,11.92,14.0,18.31,23.33
2022-05-27 08:00:00,18.26,13.82,68.96,23.82,24.83,9.7,12.96,18.65,24.32
2022-05-27 09:00:00,18.97,8.88,64.12,19.57,26.17,11.47,13.91,19.4,26.32
2022-05-27 10:00:00,18.78,4.72,52.09,11.99,25.44,11.42,14.63,21.4,29.72
2022-05-27 11:00:00,18.38,0.49,43.85,10.28,42.8,10.6,14.11,22.29,32.26
2022-05-27 12:00:00,17.55,0.0,36.85,3.48,58.74,10.4,13.46,20.91,34.42
2022-05-27 13:00:00,17.36,1.49,35.27,6.14,71.13,10.02,12.72,18.82,34.99
2022-05-27 14:00:00,18.03,13.65,37.06,18.43,63.05,6.7,9.38,14.99,34.87
2022-05-27 15:00:00,18.59,16.43,39.18,17.46,62.69,5.91,8.61,14.27,34.49
2022-05-27 16:00:00,18.01,11.65,37.08,14.57,60.47,8.75,11.38,17.14,34.83
2022-05-27 17:00:00,15.95,2.93,33.63,9.54,69.43,11.68,14.33,20.28,34.23
2022-05-27 18:00:00,15.92,17.68,36.06,16.93,70.77,11.87,14.41,20.29,33.04
2022-05-27 19:00:00,17.01,30.25,46.71,31.19,60.31,12.02,14.56,19.79,29.63
2022-05-27 20:00:00,16.74,27.6,49.78,32.41,48.8,12.37,14.77,20.13,28.23
2022-05-27 21:00:00,16.99,28.67,51.86,33.94,38.74,11.69,13.9,18.22,27.83
2022-05-27 22:00:00,16.03,11.89,49.92,17.45,51.92,11.68,14.44,22.81,27.41
2022-05-27 23:00:00,18.39,31.22,58.72,34.04,37.99,11.71,13.75,18.06,27.21
2022-05-28 00:00:00,19.71,30.75,69.14,27.7,48.2,10.27,11.9,15.06,25.8
2022-05-28 01:00:00,19.37,20.25,69.18,19.57,49.83,9.34,10.88,13.65,25.44
2022-05-28 02:00:00,18.66,10.56,67.49,15.58,43.3,9.1,10.69,13.51,25.11
2022-05-28 03:00:00,17.48,2.69,65.36,8.41,50.79,10.75,12.36,14.94,24.41
2022-05-28 04:00:00,16.25,0.0,62.84,17.04,36.68,12.3,14.26,17.54,23.76
2022-05-28 05:00:00,15.8,1.63,62.8,25.9,25.7,14.28,16.17,19.1,23.29
2022-05-28 06:00:00,15.94,7.49,64.55,39.3,8.55,14.56,16.55,20.06,22.98
2022-05-28 07:00:00,16.82,16.84,65.03,39.88,6.52,15.45,17.68,22.08,23.79
2022-05-28 08:00:00,17.96,10.85,64.7,22.01,32.13,17.11,19.61,24.24,25.08
2022-05-28 09:00:00,18.64,7.63,60.82,10.15,48.63,18.24,20.6,25.02,26.85
2022-05-28 10:00:00,18.23,1.54,52.3,0.35,59.98,18.52,21.09,26.66,29.03
2022-05-28 11:00:00,17.27,0.0,41.74,0.0,58.69,16.96,19.46,25.25,31.91
2022-05-28 12:00:00,17.26,0.0,39.35,1.9,68.68,16.1,18.6,24.32,32.93
2022-05-28 13:00:00,17.29,6.1,38.7,5.68,78.05,16.05,18.46,23.45,33.27
2022-05-28 14:00:00,17.7,5.98,37.92,5.55,74.69,15.31,17.61,22.7,34.1
2022-05-28 15:00:00,19.31,30.88,46.81,24.71,70.13,16.78,19.21,24.93,32.19
2022-05-28 16:00:00,19.36,25.56,50.62,20.7,66.38,16.52,18.84,23.75,30.79
2022-05-28 17:00:00,19.59,16.88,46.9,10.57,71.2,15.69,17.96,22.91,32.39
2022-05-28 18:00:00,19.07,13.02,48.96,18.2,61.12,16.4,18.7,23.5,31.06
2022-05-28 19:00:00,18.93,19.1,53.42,22.95,59.16,15.36,17.56,22.23,29.42
2022-05-28 20:00:00,18.96,24.79,60.81,30.34,51.54,18.55,20.97,25.9,27.2
2022-05-28 21:00:00,18.89,19.9,64.51,23.73,55.59,13.79,15.65,19.46,26.1
2022-05-28 22:00:00,18.28,10.69,64.56,15.91,61.38,12.71,14.51,18.15,25.45
2022-05-28 23:00:00,17.22,4.6,61.34,15.96,53.83,13.27,15.06,18.32,25.19
2022-05-29 00:00:00,17.19,5.93,61.97,15.85,48.2,15.97,17.91,21.26,24.99
2022-05-29 01:00:00,15.83,3.88,58.29,28.8,21.66,12.85,14.98,18.75,24.56
2022-05-29 02:00:00,16.62,12.94,62.51,31.02,24.77,15.08,16.98,20.06,24.24
2022-05-29 03:00:00,16.99,12.32,64.24,21.57,40.86,17.28,19.57,23.23,24.17
2022-05-29 04:00:00,17.79,17.88,68.26,13.38,44.24,17.74,19.92,23.45,24.04
2022-05-29 05:00:00,17.93,13.42,71.27,16.1,35.58,17.59,19.5,22.31,23.43
2022-05-29 06:00:00,17.68,9.15,71.52,18.45,35.41,16.0,17.83,20.6,23.11
2022-05-29 07:00:00,16.09,1.01,62.11,5.29,43.81,10.81,13.13,17.31,23.87
2022-05-29 08:00:00,17.0,2.85,61.35,8.35,47.14,14.57,16.83,20.79,24.97
2022-05-29 09:00:00,18.7,8.49,63.94,10.51,51.92,20.88,23.26,27.31,26.07
2022-05-29 10:00:00,18.38,2.45,55.34,3.14,49.94,21.64,24.56,29.54,28.24
2022-05-29 11:00:00,16.77,0.17,45.29,0.0,55.81,14.39,17.41,23.12,29.93
2022-05-29 12:00:00,16.27,0.0,41.0,0.0,68.67,12.28,15.19,21.31,31.08
2022-05-29 13:00:00,17.5,8.15,42.76,5.6,76.82,14.62,17.94,24.84,31.75
2022-05-29 14:00:00,19.04,17.96,49.88,13.48,79.38,15.47,19.93,29.0,30.7
2022-05-29 15:00:00,18.37,7.87,46.16,3.65,84.76,14.08,18.48,27.67,31.34
2022-05-29 16:00:00,17.77,3.74,42.34,1.63,82.06,12.6,16.68,24.61,32.19
2022-05-29 17:00:00,18.83,31.71,56.94,26.05,83.49,15.67,19.95,29.85,28.38
2022-05-29 18:00:00,18.83,33.14,70.77,26.42,69.8,13.2,16.74,26.05,24.51
2022-05-29 19:00:00,17.67,29.41,73.54,40.02,25.7,7.93,10.07,13.65,22.65
2022-05-29 20:00:00,18.22,28.48,71.62,44.99,2.86,9.66,12.42,18.23,23.65
2022-05-29 21:00:00,16.78,9.48,67.63,27.01,16.31,9.01,11.4,15.17,23.11
2022-05-29 22:00:00,16.32,12.58,70.67,33.86,8.43,10.15,12.45,15.84,21.9
2022-05-29 23:00:00,16.06,9.8,71.66,29.25,12.32,10.35,12.57,15.52,21.39
2022-05-30 00:00:00,15.75,7.51,72.27,21.84,22.08,9.57,11.67,14.3,20.93
2022-05-30 01:00:00,14.75,0.57,69.27,14.95,28.81,6.8,8.41,10.28,20.58
2022-05-30 02:00:00,14.17,0.09,68.88,15.33,29.67,6.04,7.47,9.02,20.07
2022-05-30 03:00:00,13.8,0.0,68.07,6.51,42.74,5.69,6.84,8.07,19.87
2022-05-30 04:00:00,13.73,0.92,67.57,6.79,46.36,5.44,6.56,7.91,19.92
2022-05-30 05:00:00,14.51,3.63,71.91,20.55,24.29,9.15,10.59,12.66,19.73
2022-05-30 06:00:00,13.27,0.32,67.28,18.96,28.94,5.23,6.36,8.07,19.52
2022-05-30 07:00:00,12.95,3.56,61.42,12.01,40.86,4.99,6.34,9.08,20.65
2022-05-30 08:00:00,14.15,7.24,64.12,21.87,21.98,7.45,9.35,15.66,21.22
2022-05-30 09:00:00,14.21,0.18,56.56,18.58,28.38,4.76,6.66,11.28,23.37
2022-05-30 10:00:00,14.11,0.0,44.56,1.96,41.63,4.4,5.95,9.76,27.27
2022-05-30 11:00:00,13.01,0.0,35.44,0.0,42.59,4.08,5.28,9.17,29.98
2022-05-30 12:00:00,12.62,0.0,30.1,0.0,48.96,3.17,4.3,7.97,32.4
2022-05-30 13:00:00,12.34,2.75,26.92,2.25,57.85,2.41,3.74,7.2,34.06
2022-05-30 14:00:00,15.2,22.02,35.55,17.28,70.34,2.54,3.93,7.66,32.43
2022-05-30 15:00:00,14.7,13.62,33.97,14.06,64.74,3.36,4.66,8.07,32.66
2022-05-30 16:00:00,14.48,14.74,32.2,11.9,68.81,2.77,4.03,7.18,33.35
2022-05-30 17:00:00,15.64,23.54,34.79,18.58,60.38,2.75,4.09,7.21,33.32
2022-05-30 18:00:00,14.98,16.84,36.38,17.76,59.44,2.76,4.06,6.99,31.76
2022-05-30 19:00:00,14.28,18.93,38.34,19.57,58.94,2.67,3.8,6.47,30.05
2022-05-30 20:00:00,12.98,14.96,39.92,21.03,50.95,3.13,4.32,7.18,27.9
2022-05-30 21:00:00,12.06,16.8,39.91,30.61,32.25,2.84,4.07,7.54,26.84
2022-05-30 22:00:00,11.48,15.2,41.45,32.21,27.96,2.65,3.87,6.87,25.54
2022-05-30 23:00:00,12.46,20.86,46.2,30.44,31.46,3.05,4.38,7.42,24.81
2022-05-31 00:00:00,12.71,22.68,49.14,37.61,16.48,3.29,4.73,8.04,24.04
2022-05-31 01:00:00,12.12,14.11,48.84,34.45,16.81,2.92,4.19,6.5,23.51
2022-05-31 02:00:00,11.96,12.73,49.49,29.22,20.58,3.51,4.77,7.51,23.11
2022-05-31 03:00:00,11.27,4.99,48.92,13.58,40.44,2.76,3.84,6.0,22.55
2022-05-31 04:00:00,11.69,9.74,52.08,21.05,29.84,3.28,4.41,6.44,21.98
2022-05-31 05:00:00,10.97,4.56,51.07,25.42,23.08,2.67,3.77,5.51,21.52
2022-05-31 06:00:00,11.47,17.29,53.7,43.95,1.84,3.94,5.5,8.91,21.24
2022-05-31 07:00:00,12.83,21.09,55.73,37.79,7.15,4.45,6.14,11.24,22.09
2022-05-31 08:00:00,14.56,22.66,56.71,28.47,22.28,5.53,7.1,10.98,23.71
2022-05-31 09:00:00,16.66,17.68,58.18,17.41,36.25,8.04,9.98,13.3,25.5
2022-05-31 10:00:00,16.68,8.93,49.18,9.71,38.49,14.33,17.98,23.72,28.41
2022-05-31 11:00:00,15.81,0.0,40.09,0.57,56.15,10.71,13.92,21.33,30.96
2022-05-31 12:00:00,15.32,0.0,34.99,0.0,63.11,4.62,6.32,11.51,32.81
2022-05-31 13:00:00,16.33,3.88,33.97,3.42,69.99,4.37,6.08,12.07,34.49
2022-05-31 14:00:00,16.33,8.15,32.15,7.95,73.11,4.91,6.61,11.9,35.48
2022-05-31 15:00:00,16.05,15.6,32.51,14.32,69.55,3.66,5.05,8.93,34.97
2022-05-31 16:00:00,18.04,33.45,39.13,27.33,63.41,3.85,5.32,9.02,33.9
2022-05-31 17:00:00,16.34,9.55,34.74,10.23,65.65,3.34,4.88,8.38,34.13
2022-05-31 18:00:00,15.17,12.67,34.82,10.49,70.98,3.2,4.9,11.0,32.73
2022-05-31 19:00:00,15.49,25.69,41.66,22.47,59.59,5.03,7.33,18.81,29.94
2022-05-31 20:00:00,14.43,17.98,42.58,24.44,45.93,4.88,6.57,11.2,28.37
2022-05-31 21:00:00,16.13,34.44,49.44,30.46,43.68,4.65,6.16,10.27,27.78
2022-05-31 22:00:00,16.77,25.13,55.7,22.62,48.2,3.59,4.79,7.68,26.34
2022-05-31 23:00:00,16.36,21.49,55.46,18.86,47.05,3.91,5.23,8.36,25.99
2022-06-01 00:00:00,15.99,13.72,56.74,17.74,38.23,4.33,5.63,8.13,25.18
2022-06-01 01:00:00,16.38,15.51,59.06,11.7,42.67,4.34,5.64,8.96,24.94
2022-06-01 02:00:00,15.4,6.74,57.56,4.79,51.35,4.46,5.73,8.31,24.31
2022-06-01 03:00:00,14.72,0.43,56.44,0.58,65.7,3.72,4.88,7.1,23.91
2022-06-01 04:00:00,14.27,0.0,54.05,0.76,62.95,3.47,4.64,6.54,24.15
2022-06-01 05:00:00,16.7,22.16,66.1,16.71,44.61,4.91,6.07,8.32,23.49
2022-06-01 06:00:00,17.03,19.91,71.83,22.94,23.69,5.67,6.9,9.18,22.37
2022-06-01 07:00:00,16.78,14.22,69.55,26.44,17.67,5.18,6.51,9.42,22.66
2022-06-01 08:00:00,17.13,11.7,65.9,18.81,27.87,6.4,7.99,11.6,23.9
2022-06-01 09:00:00,18.01,8.82,62.81,14.33,29.69,9.96,14.83,21.41,25.67
2022-06-01 10:00:00,17.7,3.76,50.53,4.43,37.93,11.87,22.63,35.21,29.03
2022-06-01 11:00:00,16.8,0.0,42.73,0.26,51.38,7.45,9.48,13.95,30.98
2022-06-01 12:00:00,16.22,0.0,36.56,0.11,61.84,5.64,7.42,11.76,33.05
2022-06-01 13:00:00,15.55,0.0,32.55,0.0,64.52,3.44,4.82,7.92,34.38
2022-06-01 14:00:00,15.22,5.23,31.33,6.89,66.09,2.17,6.04,13.2,34.7
2022-06-01 15:00:00,15.51,10.0,31.98,13.48,57.3,2.2,6.22,12.33,34.7
2022-06-01 16:00:00,14.64,8.9,29.6,10.84,62.87,2.68,4.45,7.4,35.04
2022-06-01 17:00:00,14.73,15.19,31.27,15.54,62.73,3.06,4.16,6.6,34.13
2022-06-01 18:00:00,14.54,20.45,32.22,19.16,62.04,3.15,4.19,6.2,33.42
2022-06-01 19:00:00,15.91,33.12,38.65,24.9,59.3,3.7,4.83,7.61,31.74
2022-06-01 20:00:00,15.21,26.41,41.46,27.16,46.92,4.62,5.89,9.47,29.71
2022-06-01 21:00:00,15.06,24.72,42.96,36.49,27.61,5.35,6.86,11.41,28.91
2022-06-01 22:00:00,15.28,39.62,46.33,56.9,0.3,6.15,8.02,13.28,27.86
2022-06-01 23:00:00,15.09,29.0,48.47,39.45,14.52,6.2,7.91,12.74,26.87
2022-06-02 00:00:00,15.21,22.55,50.16,32.17,23.76,5.79,7.3,11.5,26.43
2022-06-02 01:00:00,15.48,29.15,52.78,44.49,5.23,6.3,7.83,12.08,25.86
2022-06-02 02:00:00,15.41,19.8,54.87,29.62,21.44,6.1,7.42,10.6,25.13
2022-06-02 03:00:00,15.44,19.55,57.24,15.97,30.94,6.6,7.85,10.79,24.45
2022-06-02 04:00:00,15.82,25.97,60.89,10.98,26.08,7.35,8.58,11.04,23.83
2022-06-02 05:00:00,16.14,23.0,63.79,13.81,22.45,8.04,9.36,11.88,23.39
2022-06-02 06:00:00,15.95,19.48,63.76,29.47,7.1,8.02,9.44,12.15,23.2
2022-06-02 07:00:00,17.52,24.72,68.57,26.28,18.55,10.26,12.03,15.36,23.66
2022-06-02 08:00:00,18.24,19.8,69.51,20.92,24.1,8.0,14.54,22.5,24.17
2022-06-02 09:00:00,18.66,10.28,61.73,15.3,27.18,8.79,12.66,19.24,26.65
2022-06-02 10:00:00,18.61,5.19,51.65,4.93,41.25,11.81,23.58,38.41,29.66
2022-06-02 11:00:00,17.45,0.02,41.35,2.85,50.78,10.22,20.11,37.77,32.28
2022-06-02 12:00:00,16.12,0.52,34.14,4.13,56.75,4.14,5.83,10.41,34.19
2022-06-02 13:00:00,16.24,1.26,32.08,3.1,70.44,1.81,3.47,8.52,35.43
2022-06-02 14:00:00,17.04,8.95,33.77,12.59,73.23,4.47,6.17,12.27,35.41
2022-06-02 15:00:00,16.86,10.94,32.69,14.99,67.77,2.82,8.0,18.99,35.8
2022-06-02 16:00:00,16.93,14.26,33.74,16.71,67.54,3.75,7.2,14.85,35.34
2022-06-02 17:00:00,14.99,5.21,28.88,9.47,71.48,5.71,7.09,11.14,35.87
2022-06-02 18:00:00,14.23,12.26,29.18,16.62,65.43,6.04,7.38,10.97,34.8
2022-06-02 19:00:00,14.69,23.58,32.12,23.65,59.4,5.92,7.24,11.14,33.63
2022-06-02 20:00:00,15.2,32.95,36.14,29.89,50.44,6.82,8.23,12.61,32.1
2022-06-02 21:00:00,18.67,71.01,55.73,60.74,29.47,8.1,9.84,14.33,28.67
2022-06-02 22:00:00,19.9,75.79,66.93,74.16,0.0,8.76,11.08,18.13,26.56
2022-06-02 23:00:00,18.26,48.32,62.1,56.34,0.0,8.12,10.14,15.79,26.08
2022-06-03 00:00:00,19.03,45.61,65.88,47.99,0.08,9.45,11.24,15.4,25.9
2022-06-03 01:00:00,18.54,25.87,65.79,26.97,7.55,8.44,9.85,12.75,25.42
2022-06-03 02:00:00,17.23,6.45,62.1,15.6,20.19,7.32,8.47,10.67,25.0
2022-06-03 03:00:00,17.04,8.19,62.93,16.63,21.59,7.69,8.88,11.04,24.57
2022-06-03 04:00:00,16.46,2.3,61.73,12.92,27.52,7.18,8.22,9.91,24.28
2022-06-03 05:00:00,16.8,11.45,64.42,22.91,14.51,7.74,8.85,10.98,23.93
2022-06-03 06:00:00,16.78,18.45,65.54,30.1,6.98,8.64,10.08,13.78,23.62
2022-06-03 07:00:00,17.16,14.07,64.53,23.03,17.18,8.63,10.05,13.66,24.33
2022-06-03 08:00:00,15.08,0.0,48.35,0.3,40.63,3.61,7.75,16.1,26.92
2022-06-03 09:00:00,15.1,0.0,40.55,0.21,40.91,3.14,8.69,19.61,30.02
2022-06-03 10:00:00,14.21,0.0,31.28,0.0,41.82,2.27,6.06,14.06,33.56
2022-06-03 11:00:00,13.53,0.0,26.68,0.09,51.49,3.71,4.8,7.49,35.6
2022-06-03 12:00:00,12.53,2.19,22.38,0.08,55.85,3.48,4.52,7.05,37.65
2022-06-03 13:00:00,13.49,15.57,22.1,11.36,65.05,4.34,5.64,10.1,39.19
2022-06-03 14:00:00,14.96,27.91,26.02,23.71,61.97,4.88,6.38,11.81,37.78
2022-06-03 15:00:00,15.51,31.68,26.32,23.63,58.6,4.83,6.26,11.16,38.18
2022-06-03 16:00:00,15.2,24.75,25.15,20.2,56.7,4.15,6.15,11.41,38.66
2022-06-03 17:00:00,15.4,32.25,26.54,23.91,59.93,4.22,5.5,9.46,37.9
2022-06-03 18:00:00,15.17,30.8,28.04,31.27,48.53,4.49,5.72,8.87,36.62
2022-06-03 19:00:00,13.63,25.41,29.23,27.97,53.96,4.37,5.67,10.2,34.06
2022-06-03 20:00:00,14.48,38.04,33.46,36.12,41.73,4.87,6.13,9.91,32.71
2022-06-03 21:00:00,13.76,35.68,34.25,48.94,11.93,5.53,7.01,11.93,31.39
2022-06-03 22:00:00,13.34,41.91,36.11,61.98,0.0,5.91,7.54,12.65,30.0
2022-06-03 23:00:00,15.55,39.71,43.92,48.7,12.06,7.06,8.51,12.51,29.19
2022-06-04 00:00:00,17.18,39.12,49.63,48.96,5.72,6.68,8.17,11.98,28.77
2022-06-04 01:00:00,16.74,28.39,49.45,42.21,3.87,7.38,8.94,12.83,28.33
2022-06-04 02:00:00,15.1,8.02,45.76,17.7,35.55,6.63,8.02,11.06,27.87
2022-06-04 03:00:00,14.83,7.61,45.76,14.46,42.04,6.86,8.33,11.3,27.58
2022-06-04 04:00:00,15.09,11.76,47.97,24.32,28.63,7.44,9.18,12.51,27.05
2022-06-04 05:00:00,15.9,20.47,52.47,28.31,18.49,8.11,9.88,13.55,26.41
2022-06-04 06:00:00,16.19,21.5,54.81,31.67,11.55,8.47,10.26,13.98,25.99
2022-06-04 07:00:00,17.37,25.73,58.7,28.44,23.15,9.4,11.1,15.64,26.12
2022-06-04 08:00:00,18.81,20.26,62.05,20.35,32.41,9.33,10.78,14.2,26.7
2022-06-04 09:00:00,19.41,14.43,58.74,17.82,34.29,11.04,12.68,16.39,28.27
2022-06-04 10:00:00,18.64,2.04,46.9,4.14,43.76,11.31,13.3,18.27,31.42
2022-06-04 11:00:00,17.2,0.0,38.7,1.29,57.03,10.04,11.97,16.34,33.22
2022-06-04 12:00:00,16.5,1.53,33.04,1.97,74.74,8.72,10.66,15.59,35.22
2022-06-04 13:00:00,16.85,1.21,32.57,3.1,82.01,7.33,9.1,13.99,35.85
2022-06-04 14:00:00,17.08,8.56,32.86,10.77,83.53,7.63,9.55,16.67,35.97
2022-06-04 15:00:00,17.86,15.1,34.76,14.63,76.27,7.65,9.5,14.86,35.83
2022-06-04 16:00:00,18.94,26.84,37.46,19.94,71.44,8.34,10.37,16.23,35.72
2022-06-04 17:00:00,18.46,15.38,37.62,14.84,67.69,8.55,10.63,15.53,35.08
2022-06-04 18:00:00,16.44,1.85,33.08,6.19,73.74,7.87,9.73,13.99,35.09
2022-06-04 19:00:00,15.83,12.37,34.6,15.09,69.35,7.9,9.68,13.85,33.59
2022-06-04 20:00:00,16.12,22.79,37.94,22.9,58.41,8.3,10.19,15.54,32.28
2022-06-04 21:00:00,16.69,31.75,43.82,27.92,53.37,8.51,10.29,15.5,30.42
2022-06-04 22:00:00,18.31,34.15,50.76,37.99,30.69,10.87,12.92,17.63,29.61
2022-06-04 23:00:00,16.82,19.6,48.85,35.52,22.39,9.98,12.02,16.85,28.64
2022-06-05 00:00:00,16.55,17.57,49.63,26.26,34.66,10.46,12.36,17.15,28.07
2022-06-05 01:00:00,16.24,19.51,49.46,38.05,13.01,9.74,11.54,15.68,27.78
2022-06-05 02:00:00,17.42,32.81,55.3,42.96,8.14,10.42,12.04,15.47,27.23
2022-06-05 03:00:00,18.6,28.54,61.57,32.0,14.35,11.37,12.97,16.42,26.59
2022-06-05 04:00:00,17.92,22.33,61.48,30.44,9.18,11.45,13.0,16.42,25.89
2022-06-05 05:00:00,16.8,6.87,58.57,26.96,14.67,10.45,11.89,14.4,25.52
2022-06-05 06:00:00,16.76,4.1,57.87,24.75,18.05,11.0,12.53,15.73,25.68
2022-06-05 07:00:00,17.34,8.1,58.73,19.88,31.61,11.02,12.52,15.83,26.05
2022-06-05 08:00:00,19.06,18.15,63.82,13.39,41.52,12.61,13.92,16.89,26.48
2022-06-05 09:00:00,19.81,12.44,60.08,9.2,46.95,16.57,18.21,22.17,28.31
2022-06-05 10:00:00,19.47,1.46,50.27,3.15,52.32,18.66,20.88,27.26,31.07
2022-06-05 11:00:00,18.23,0.0,38.91,0.0,49.08,10.96,12.98,20.06,34.29
2022-06-05 12:00:00,18.66,1.05,37.01,1.02,68.67,10.89,12.74,19.45,35.6
2022-06-05 13:00:00,15.52,0.0,26.99,0.0,42.85,6.93,8.62,12.99,38.05
2022-06-05 14:00:00,14.52,0.0,21.96,0.26,53.6,6.25,7.83,11.66,40.38
2022-06-05 15:00:00,14.23,4.26,21.01,2.44,63.95,6.06,7.56,11.21,40.85
2022-06-05 16:00:00,13.93,12.59,21.15,8.0,62.1,5.51,6.91,10.03,40.37
2022-06-05 17:00:00,13.44,16.39,20.06,8.91,58.67,5.17,6.4,8.92,40.76
2022-06-05 18:00:00,12.37,18.01,19.34,8.68,57.9,4.62,5.72,7.96,40.13
2022-06-05 19:00:00,13.19,35.68,23.0,21.45,51.51,5.2,6.4,9.01,37.95
2022-06-05 20:00:00,11.59,24.76,23.0,16.06,53.62,4.01,5.14,7.74,35.99
2022-06-05 21:00:00,13.28,58.32,29.15,40.51,31.86,6.49,8.04,12.48,34.15
2022-06-05 22:00:00,17.33,72.45,42.39,51.46,23.12,10.68,12.58,18.01,31.7
2022-06-05 23:00:00,16.37,56.18,43.27,60.98,0.0,9.28,11.22,16.18,30.24
2022-06-06 00:00:00,17.2,50.33,48.18,61.47,0.0,10.52,12.45,17.3,29.31
2022-06-06 01:00:00,17.74,44.49,52.63,52.42,0.44,11.77,13.62,17.96,28.36
2022-06-06 02:00:00,17.68,29.69,54.77,35.33,12.41,11.91,13.56,17.27,27.61
2022-06-06 03:00:00,17.27,19.38,55.43,21.52,32.74,11.59,13.11,16.35,26.96
2022-06-06 04:00:00,16.85,9.71,55.14,14.35,41.87,10.74,12.1,14.5,26.59
2022-06-06 05:00:00,18.02,28.22,60.24,23.87,17.94,12.11,14.14,20.54,26.39
2022-06-06 06:00:00,18.79,24.31,64.35,19.99,21.4,10.3,12.08,17.34,26.09
2022-06-06 07:00:00,17.72,10.3,66.77,14.61,46.57,6.58,8.11,11.06,24.36
2022-06-06 08:00:00,16.46,4.73,52.75,12.02,34.09,6.03,8.2,13.81,26.94
2022-06-06 09:00:00,18.08,4.03,50.33,16.53,27.32,6.22,13.13,28.97,29.56
2022-06-06 10:00:00,19.09,6.28,48.66,14.41,40.27,9.75,15.01,25.3,31.2
2022-06-06 11:00:00,19.76,6.54,46.82,12.5,53.75,11.36,13.88,19.62,32.63
2022-06-06 12:00:00,19.32,1.41,41.45,3.84,67.78,6.52,9.02,13.44,34.32
